OBJECTID,nazev,rid,fakulta_pracoviste,nazev_studijniho_programu,kod_sp,nazev_studijniho_oboru,kod_so,celkem_cr,celkem_khk,nazev_vusc,kod_vusc,nazev_okresu,kod_okresu,nazev_orp,kod_orp,nazev_obce,kod_obce,nazev_ulice,cislo_domovni,typ_cisla_domovniho,cislo_orientacni,psc,www,wkt,x,y,dp_id
1,Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Hospodářská politika a správa,B6202,,,145,4,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS1
2,Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Hospodářská politika a správa,N6202,,,321,4,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS2
3,Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Hospodářská politika a správa,B6202,Veřejná správa a regionální rozvoj,6202R065,33,4,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS3
4,Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Hospodářská politika a správa,N6202,Veřejná správa a regionální rozvoj,6202T065,36,4,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS4
5,Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Veřejná správa a regionální rozvoj,B0312A050002,,,146,44,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS5
6,Česká zemědělská univerzita v Praze,41110,Provozně ekonomická fakulta,Veřejná správa a regionální rozvoj,N0312A050002,,,265,49,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,Veverkova ,1343,č.p.,,50002,https://www.pef.czu.cz/cs/r-17582-uchazeci/r-19592-centra-vzdelavani-v-regionech/r-10033-cv-hradec-kralove,POINT(50.2064533  15.8148219),15.8148219,50.2064533,AVS6
7,Univerzita  Hradec Králové,18440,Pedagogická fakulta,Anglický jazyk se zaměřením na vzdělávání,B0114A090004,,,1,1,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS7
8,Univerzita  Hradec Králové,18440,Pedagogická fakulta,Český jazyk a literatura se zaměřením na vzdělávání,B0114A090005,,,1,1,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS8
9,Univerzita  Hradec Králové,18440,Pedagogická fakulta,Etická výchova se zaměřením na vzdělávání,B0114A300052,,,2,2,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS9
10,Univerzita  Hradec Králové,18440,Pedagogická fakulta,Filologie,B7310,,,35,35,Královehradecký kraj,CZ052,Hradec Králové ,CZ0521,Hradec Králové,5205,Hradec Králové ,569810,náměstí Svobody ,301,č.p.,,50002,https://www.uhk.cz/cs/pedagogicka-fakulta/pdf,POINT(50.2095147  15.8267314),15.8267314,50.2095147,AVS10
